time;Time Code;country;Country Code;current_health_exp;gdpgrowth;gdppercap;lifeexp_total;lifeexp_male;lifeexp_female;urbanpop
2016;YR2016;Afghanistan;AFG;10,19867734;2,260314205;571,0737745;63,763;62,343;65,275;25,02
2016;YR2016;Albania;ALB;6,69789475;3,349999688;4683,74389;78,194;76,353;80,134;58,421
2016;YR2016;Algeria;DZA;6,648475;3,3;4834,230203;76,298;75,115;77,524;71,459
2016;YR2016;American Samoa;ASM;..;-2,619414484;9589,979837;..;..;..;87,198
2016;YR2016;Andorra;AND;10,36772767;1,889124387;42949,66624;..;..;..;88,248
2016;YR2016;Angola;AGO;2,87782524;-2,58009724;3530,309423;59,925;57,242;62,783;64,149
2016;YR2016;Antigua and Barbuda;ATG;4,30900835;5,589740804;14190,60576;76,617;75,41;77,766;24,846
2016;YR2016;Argentina;ARG;7,54838404;-2,080327844;10239,48135;76,221;72,768;79,583;91,627
2016;YR2016;Armenia;ARM;9,92732109;0,2;3917,379676;74,64;71,022;77,949;63,082
2016;YR2016;Aruba;ABW;..;-0,211225106;24277,40679;75,868;73,348;78,237;43,192
2016;YR2016;Australia;AUS;9,25209201;2,846754951;55875,09642;82,44878049;80,4;84,6;85,8
2016;YR2016;Austria;AUT;10,43762567;2,039574983;48300,9486;81,64146341;79,3;84,1;57,905
2016;YR2016;Azerbaijan;AZE;6,89059972;-3,064200035;5812,584374;72,493;69,858;75,088;55,021
2016;YR2016;Bahamas, The;BHS;6,37542177;-1,689549856;27369,55643;73,329;71,064;75,509;82,832
2016;YR2016;Bahrain;BHR;4,86947429;3,470923702;22336,75682;76,899;76,063;77,997;89,09
2016;YR2016;Bangladesh;BGD;2,36505997;7,113489474;1062,040158;71,785;70,192;73,655;35,083
2016;YR2016;Barbados;BRB;6,96244846;2,007168459;16472,31426;78,888;77,452;80,227;31,193
2016;YR2016;Belarus;BLR;6,31679395;-2,526446436;6372,401795;73,82682927;68,9;79;77,661
2016;YR2016;Belgium;BEL;10,03841793;1,452552224;45598,7351;81,43902439;79;84;97,919
2016;YR2016;Belize;BLZ;6,12137415;-0,58802365;4287,30848;74,219;71,495;77,199;45,495
2016;YR2016;Benin;BEN;3,85561779;3,96485991;837,2168257;60,885;59,361;62,379;46,229
2016;YR2016;Bermuda;BMU;..;..;..;81,22707317;77,51;85,13;100
2016;YR2016;Bhutan;BTN;3,45418055;8,022101221;3035,658708;70,781;70,503;71,06;39,428
2016;YR2016;Bolivia;BOL;6,86056405;4,263919504;2425,56159;70,626;67,898;73,512;68,738
2016;YR2016;Bosnia and Herzegovina;BIH;9,22955617;3,145658092;5591,027962;76,998;74,499;79,439;47,518
2016;YR2016;Botswana;BWA;5,46320154;4,303773353;7797,146805;68,178;65,22;70,893;67,933
2016;YR2016;Brazil;BRA;11,77150303;-3,305454313;10962,62549;75,23;71,578;78,934;86,042
2016;YR2016;British Virgin Islands;VGB;..;..;..;..;..;..;46,957
2016;YR2016;Brunei Darussalam;BRN;2,3409551;-2,465514923;31685,22545;75,45;74,313;76,681;76,99
2016;YR2016;Bulgaria;BGR;8,23011604;3,936758149;7966,882009;74,81219512;71,3;78,5;74,329
2016;YR2016;Burkina Faso;BFA;6,75254452;5,934135105;664,0236306;60,354;59,592;60,988;28,134
2016;YR2016;Burundi;BDI;6,19156298;-0,600020001;219,9614978;60,528;58,726;62,301;12,388
2016;YR2016;Cabo Verde;CPV;5,23696219;4,705791509;3532,140211;72,347;68,846;75,616;64,784
2016;YR2016;Cambodia;KHM;6,08196009;7,030966776;1079,630539;68,977;66,785;70,975;22,582
2016;YR2016;Cameroon;CMR;4,6902491;4,648481551;1467,760752;58,063;56,768;59,367;55,179
2016;YR2016;Canada;CAN;10,53465477;1,107099383;50263,83433;82,1422439;80,152;84,232;81,3
2016;YR2016;Cayman Islands;CYM;..;3,096282407;..;..;..;..;100
2016;YR2016;Central African Republic;CAF;4,28252151;5,006285824;363,0493644;51,593;49,594;53,614;40,618
2016;YR2016;Chad;TCD;4,5381013;-6,255527085;868,2116954;53,438;52,041;54,856;22,677
2016;YR2016;Channel Islands;CHI;..;..;..;82,6;80,559;84,553;30,93
2016;YR2016;Chile;CHL;8,52893972;1,670540173;14771,25765;79,779;77,113;82,293;87,422
2016;YR2016;China;CHN;4,98188075;6,736675253;6883,895425;76,21;74,061;78,574;56,736
2016;YR2016;Colombia;COL;5,91234407;2,087382502;7626,002946;76,732;73,91;79,523;80,108
2016;YR2016;Comoros;COM;7,63108978;2,188197456;1350,161396;63,7;62,015;65,444;28,619
2016;YR2016;Congo, Dem. Rep.;COD;3,87116143;2,399379098;407,2896431;59,655;58,174;61,147;43,307
2016;YR2016;Congo, Rep.;COG;4,63481785;-2,800018788;2851,975419;63,556;62,202;64,86;66,001
2016;YR2016;Costa Rica;CRI;7,55572353;4,245989878;9509,73874;79,738;77,185;82,374;77,735
2016;YR2016;Cote d'Ivoire;CIV;4,40362075;7,971751186;1539,315735;56,567;55,428;57,854;49,881
2016;YR2016;Croatia;HRV;7,18008037;3,536129557;14718,93319;78,02195122;74,9;81,3;56,403
2016;YR2016;Cuba;CUB;12,19122021;0,513761468;6550,274373;78,607;76,647;80,587;76,93
2016;YR2016;Curacao;CUW;..;-0,986570598;..;77,7195122;74,5;81,1;89,272
2016;YR2016;Cyprus;CYP;6,87966475;4,812187624;29081,8161;80,513;78,356;82,671;66,881
2016;YR2016;Czech Republic;CZE;7,14959908;2,450542387;21863,64166;79,02682927;76,1;82,1;73,57
2016;YR2016;Denmark;DNK;10,35004017;2,399672093;61370,77562;80,85365854;79;82,8;87,642
2016;YR2016;Djibouti;DJI;3,50192451;8,722260061;..;65,064;63,245;67,109;77,528
2016;YR2016;Dominica;DMA;5,30393975;2,522050874;7086,78213;..;..;..;69,88
2016;YR2016;Dominican Republic;DOM;6,16130052;6,612208223;7084,626853;73,471;70,403;76,765;79,436
2016;YR2016;Ecuador;ECU;8,38714107;-1,226383985;5176,058803;76,365;73,606;79,233;63,534
2016;YR2016;Egypt, Arab Rep.;EGY;4,63781726;4,346643456;2761,386198;71,482;69,302;73,766;42,732
2016;YR2016;El Salvador;SLV;6,95775683;2,507458532;3381,232052;72,644;67,787;77,188;70,501
2016;YR2016;Equatorial Guinea;GNQ;3,37653274;-8,816417232;12346,25956;57,713;56,692;58,932;71,138
2016;YR2016;Eritrea;ERI;2,95931347;..;..;65,111;62,994;67,303;..
2016;YR2016;Estonia;EST;6,68368438;3,489097111;18387,76907;77,64146341;73,3;82,2;68,563
2016;YR2016;Eswatini;SWZ;7,69694547;3,222472416;4795,793891;56,962;53,152;61,214;23,459
2016;YR2016;Ethiopia;ETH;3,97401588;9,433482658;514,0573068;65,482;63,622;67,378;19,866
2016;YR2016;Faroe Islands;FRO;..;..;..;82,19756098;80,1;84,4;41,777
2016;YR2016;Fiji;FJI;3,46146795;2,645289584;4455,187559;67,175;65,555;68,925;55,235
2016;YR2016;Finland;FIN;9,49305799;2,77192552;46438,82274;81,42926829;78,6;84,4;85,275
2016;YR2016;France;FRA;11,53929503;1,095464394;42054,53126;82,52439024;79,5;85,7;79,917
2016;YR2016;French Polynesia;PYF;..;..;..;77,024;74,924;79,339;61,734
2016;YR2016;Gabon;GAB;3,11291313;2,091442208;9419,856712;65,418;63,552;67,346;88,559
2016;YR2016;Gambia, The;GMB;4,43153755;0,405596589;493,8754303;61,166;59,836;62,548;59,918
2016;YR2016;Georgia;GEO;8,43609722;2,846603299;4074,925708;73,207;68,764;77,621;57,837
2016;YR2016;Germany;DEU;11,13916763;2,242235099;46167,83078;80,9902439;78,6;83,5;77,224
2016;YR2016;Ghana;GHA;4,44871433;3,447792974;1643,448745;63,124;62,13;64,13;54,749
2016;YR2016;Gibraltar;GIB;..;..;..;..;..;..;100
2016;YR2016;Greece;GRC;8,45429347;-0,190952277;22666,28624;81,38780488;78,9;84;78,387
2016;YR2016;Greenland;GRL;..;5,955617683;47974,07317;..;..;..;86,326
2016;YR2016;Grenada;GRD;5,24666501;3,735614132;8449,307769;72,408;70,09;74,973;36,072
2016;YR2016;Guam;GUM;..;0,250288795;32046,04485;79,391;76,178;82,894;94,617
2016;YR2016;Guatemala;GTM;5,82031093;3,092482558;3100,868441;73,541;70,515;76,498;50,319
2016;YR2016;Guinea;GIN;5,47827339;10,82880684;809,9578165;60,17;59,546;60,585;35,46
2016;YR2016;Guinea-Bissau;GNB;6,09011769;6,262805638;594,9783587;57,328;55,198;59,329;42,533
2016;YR2016;Guyana;GUY;4,24328719;3,316131655;3793,044295;69,454;66,394;72,717;26,482
2016;YR2016;Haiti;HTI;5,38571841;1,452706658;729,8559384;62,896;60,752;65,052;53,396
2016;YR2016;Honduras;HND;8,40196647;3,892972197;2096,571522;74,701;72,366;77,019;55,813
2016;YR2016;Hong Kong SAR, China;HKG;..;2,176392352;36820,97742;84,22682927;81,3;87,3;100
2016;YR2016;Hungary;HUN;7,36479381;2,28079775;15032,13558;76,06341463;72,6;79,7;70,779
2016;YR2016;Iceland;ISL;8,29151473;7,351475302;50188,49842;82,20487805;80,4;84,1;93,735
2016;YR2016;India;IND;3,65833057;8,169526505;1874,228501;68,897;67,745;70,142;33,182
2016;YR2016;Indonesia;IDN;3,12449094;5,033069183;3968,055911;71,035;68,914;73,264;53,989
2016;YR2016;Iran, Islamic Rep.;IRN;8,10277065;13,39624446;6794,293215;76,047;75,007;77,187;73,88
2016;YR2016;Iraq;IRQ;3,31216318;13,57221884;5846,511746;70,122;68,101;72,152;70,094
2016;YR2016;Ireland;IRL;7,37830423;3,677815794;67077,74361;81,70487805;79,9;83,6;62,737
2016;YR2016;Isle of Man;IMN;..;7,4;87381,78604;..;..;..;52,343
2016;YR2016;Israel;ISR;7,31441124;4,007888724;33839,83485;82,40731707;80,7;84,2;92,256
2016;YR2016;Italy;ITA;8,93549301;1,118900618;34397,65099;83,24390244;81;85,6;69,855
2016;YR2016;Jamaica;JAM;6,0723917;1,380658383;4753,705156;74,175;72,635;75,774;55,098
2016;YR2016;Japan;JPN;10,92612327;0,609093181;47444,14356;83,98487805;80,98;87,14;91,457
2016;YR2016;Jordan;JOR;5,46821058;2,003733642;3241,250765;74,184;72,533;75,934;90,506
2016;YR2016;Kazakhstan;KAZ;3,52614962;1,1;10582,70087;72,3;68,1;76,6;57,264
2016;YR2016;Kenya;KEN;4,54957525;5,878949299;1129,713196;65,393;63,031;67,721;26,105
2016;YR2016;Kiribati;KIR;11,85986702;5,129750525;1772,932796;67,577;63,468;71,638;52,45
2016;YR2016;Korea, Dem. People’s Rep.;PRK;..;..;..;71,711;68,06;75,119;61,471
2016;YR2016;Korea, Rep.;KOR;7,33752488;2,929304795;25484,03759;82,27560976;79,3;85,4;81,562
2016;YR2016;Kosovo;XKX;..;4,056578596;3925,270222;71,64634146;69,5;73,9;..
2016;YR2016;Kuwait;KWT;3,903945;2,926121132;35887,1002;75,224;74,495;76,269;100
2016;YR2016;Kyrgyz Republic;KGZ;6,62528772;4,3;1042,280328;70,95121951;67;75,1;35,944
2016;YR2016;Lao PDR;LAO;2,36087478;7,023091874;1621,735265;66,924;65,15;68,712;33,736
2016;YR2016;Latvia;LVA;6,24292955;2,064381296;14713,01808;74,5804878;69,8;79,6;68,021
2016;YR2016;Lebanon;LBN;8,01673185;1,6055246;6330,423607;78,8;76,996;80,758;88,266
2016;YR2016;Lesotho;LSO;8,0765782;3,178986427;1436,149532;52,059;48,969;55,299;27,317
2016;YR2016;Liberia;LBR;9,61511081;-1,599584075;548,2681436;62,802;61,409;64,198;50,254
2016;YR2016;Libya;LBY;..;-2,79546889;5669,733946;72,311;69,442;75,449;79,54
2016;YR2016;Liechtenstein;LIE;..;..;..;82,25853659;80,6;84;14,303
2016;YR2016;Lithuania;LTU;6,67158258;2,353181307;15944,62541;74,67073171;69,5;80,1;67,366
2016;YR2016;Luxembourg;LUX;6,16378558;2,411430786;107479,5111;82,68536585;80,1;85,4;90,46
2016;YR2016;Macao SAR, China;MAC;..;-0,858021516;52089,7452;83,854;80,871;86,781;100
2016;YR2016;Madagascar;MDG;6,00363747;4,179990236;416,0055748;65,931;64,369;67,506;35,856
2016;YR2016;Malawi;MWI;9,83034233;2,484040626;506,2496613;62,681;59,587;65,776;16,506
2016;YR2016;Malaysia;MYS;3,80219497;4,223410194;11219,62986;75,649;73,718;77,84;74,84
2016;YR2016;Maldives;MDV;10,61083995;7,28918633;7699,713116;78,013;76,629;79,854;38,954
2016;YR2016;Mali;MLI;3,81961944;5,799999995;747,0916565;57,987;57,275;58,695;40,783
2016;YR2016;Malta;MLT;9,29531092;5,704630128;26510,06655;82,45365854;80,6;84,4;94,48
2016;YR2016;Marshall Islands;MHL;23,28730052;1,910494988;3101,096283;..;..;..;76,228
2016;YR2016;Mauritania;MRT;4,2410152;2;1336,993368;64,208;62,552;65,824;51,962
2016;YR2016;Mauritius;MUS;5,745666;3,837932654;9833,613134;74,39487805;71,19;77,76;40,91
2016;YR2016;Mexico;MEX;5,46900124;2,921615165;10206,89345;74,917;71,99;77,826;79,577
2016;YR2016;Micronesia, Fed. Sts.;FSM;12,56300745;0,700002436;2708,769085;67,471;65,842;69,158;22,526
2016;YR2016;Moldova;MDA;8,98095464;4,408886743;2461,052647;71,617;67,34;75,9;42,511
2016;YR2016;Monaco;MCO;1,74986203;3,213848834;193745,575;..;..;..;100
2016;YR2016;Mongolia;MNG;3,8090161;1,168393456;3866,243973;69,321;65,294;73,588;68,297
2016;YR2016;Montenegro;MNE;7,64204428;2,949338685;7492,863436;76,568;74,099;79,013;66,141
2016;YR2016;Morocco;MAR;5,83767147;1,125977451;3214,917464;75,974;74,694;77,202;61,36
2016;YR2016;Mozambique;MOZ;5,0661965;3,763275593;533,4584932;58,309;55,339;61,063;34,926
2016;YR2016;Myanmar;MMR;5,08779798;5,862472915;1403,767118;66,205;63,021;69,303;30,082
2016;YR2016;Namibia;NAM;9,12250271;1,123168867;6365,499834;62,625;59,65;65,412;47,961
2016;YR2016;Nauru;NRU;11,10191475;10,400004;9647,677944;..;..;..;100
2016;YR2016;Nepal;NPL;6,29441655;0,588678499;729,66143;69,848;68,419;71,264;18,942
2016;YR2016;Netherlands;NLD;10,35932019;2,191713725;52727,10247;81,56097561;80;83,2;90,635
2016;YR2016;New Caledonia;NCL;..;..;..;76,96150074;74,22461207;79,83523384;69,821
2016;YR2016;New Zealand;NZL;9,22193561;3,64579895;37319,28612;81,61243902;79,91;83,4;86,4
2016;YR2016;Nicaragua;NIC;8,74635494;4,563147375;1895,192042;73,86;70,374;77,309;58,09
2016;YR2016;Niger;NER;6,22894111;4,925930933;389,9855591;61,137;60,033;62,305;16,29
2016;YR2016;Nigeria;NGA;3,64671499;-1,61686895;2456,306188;53,541;52,696;54,415;48,683
2016;YR2016;North Macedonia;MKD;6,34410858;2,848441461;5247,250784;75,498;73,491;77,55;57,563
2016;YR2016;Northern Mariana Islands;MNP;..;28,22384428;18595,53915;..;..;..;91,443
2016;YR2016;Norway;NOR;10,50063009;1,187354764;90402,60219;82,40731707;80,7;84,2;81,485
2016;YR2016;Oman;OMN;4,29254957;4,980170972;16692,256;77,142;75,391;79,659;82,5
2016;YR2016;Pakistan;PAK;2,75283024;5,526735845;1119,039071;66,77;65,872;67,742;36,234
2016;YR2016;Palau;PLW;11,68764783;0,526568961;12825,28583;..;..;..;78,775
2016;YR2016;Panama;PAN;7,26068297;4,966420444;11108,5907;77,964;74,894;81,211;67,027
2016;YR2016;Papua New Guinea;PNG;1,97579249;4,1;2448,711322;63,744;62,508;65,07;13,05
2016;YR2016;Paraguay;PRY;8,02487617;4,31290497;5089,61202;73,836;71,906;75,901;61,026
2016;YR2016;Peru;PER;5,14391365;3,955881804;6262,730977;76,044;73,39;78,759;77,539
2016;YR2016;Philippines;PHL;4,38594904;6,884055037;2743,198363;70,802;66,81;75,143;46,475
2016;YR2016;Poland;POL;6,51647873;3,062598541;15101,36106;77,85121951;73,9;82;60,178
2016;YR2016;Portugal;PRT;9,07636096;1,925736297;22511,72625;81,12439024;78,1;84,3;64,086
2016;YR2016;Puerto Rico;PRI;..;-1,263002925;27703,5236;79,49497561;76,014;83,15;93,602
2016;YR2016;Qatar;QAT;3,07944355;2,131310916;64303,18636;79,868;78,69;81,61;99,015
2016;YR2016;Romania;ROU;4,98040299;4,800799906;10236,86217;75,3097561;71,7;79,1;53,9
2016;YR2016;Russian Federation;RUS;5,27112755;0,329282332;11298,48374;71,65121951;66,5;77,06;74,164
2016;YR2016;Rwanda;RWA;6,76069372;5,981314913;755,8673111;67,93;65,81;69,954;17,056
2016;YR2016;Samoa;WSM;5,53209386;7,169421486;3795,384997;72,895;70,895;75,052;18,681
2016;YR2016;San Marino;SMR;6,39562063;2,2;52811,2788;..;..;..;96,91
2016;YR2016;Sao Tome and Principe;STP;5,99199802;4,172377734;1263,374506;69,67;67,321;72,05;71,092
2016;YR2016;Saudi Arabia;SAU;5,74181331;1,670642347;21270,4714;74,761;73,548;76,373;83,401
2016;YR2016;Senegal;SEN;5,51241197;6,356396792;1430,362395;67,078;64,972;68,999;46,296
2016;YR2016;Serbia;SRB;9,13502874;3,340329069;6394,460295;75,68780488;73,2;78,3;55,81
2016;YR2016;Seychelles;SYC;3,93610353;4,503032666;13598,33635;74,3097561;68,7;80,2;55,831
2016;YR2016;Sierra Leone;SLE;16,53171514;6,055474029;457,8330917;53,444;52,586;54,258;41,228
2016;YR2016;Singapore;SGP;4,46958366;2,962327259;54764,86476;82,84634146;80,7;85,1;100
2016;YR2016;Sint Maarten (Dutch part);SXM;..;0,43250626;..;..;..;..;100
2016;YR2016;Slovak Republic;SVK;7,12513052;3,125410105;19298,07348;77,16585366;73,8;80,7;53,806
2016;YR2016;Slovenia;SVN;8,46829514;3,068087059;24445,55791;81,17560976;78,2;84,3;54,02
2016;YR2016;Solomon Islands;SLB;5,17074913;3,456606233;1454,319082;72,424;70,777;74,287;22,823
2016;YR2016;Somalia;SOM;..;..;..;56,324;54,697;58,022;43,816
2016;YR2016;South Africa;ZAF;8,1098146;0,565344944;7495,352992;63,153;59,803;66,654;65,341
2016;YR2016;South Sudan;SSD;..;-11,18408707;691,687534;57,12;55,64;58,64;19,092
2016;YR2016;Spain;ESP;8,97038932;3,17258966;31539,51029;83,32926829;80,5;86,3;79,84
2016;YR2016;Sri Lanka;LKA;3,89324108;4,486634531;3769,159089;76,482;73,062;79,835;18,311
2016;YR2016;St. Kitts and Nevis;KNA;5,67183165;2,317508505;17557,21922;..;..;..;30,79
2016;YR2016;St. Lucia;LCA;5,30656361;3,890279886;8238,016736;75,752;74,435;77,13;18,558
2016;YR2016;St. Martin (French part);MAF;..;..;..;79,62195122;76,5;82,9;..
2016;YR2016;St. Vincent and the Grenadines;VCT;3,56292208;1,975455939;6692,514817;72,193;69,969;74,786;51,373
2016;YR2016;Sudan;SDN;5,6648529;4,700000042;1911,025651;64,663;62,9;66,457;34,121
2016;YR2016;Suriname;SUR;6,06415279;-5,561193424;7912,618008;71,358;68,183;74,701;66,04
2016;YR2016;Sweden;SWE;10,93479344;2,683966343;56195,88138;82,30731707;80,6;84,1;86,852
2016;YR2016;Switzerland;CHE;12,24760438;1,601223556;76934,32049;83,60243902;81,7;85,6;73,739
2016;YR2016;Syrian Arab Republic;SYR;..;..;..;70,315;64,512;77,084;52,835
2016;YR2016;Tajikistan;TJK;6,99849461;6,872963797;976,1351753;70,397;68,234;72,737;26,851
2016;YR2016;Tanzania;TZA;4,13992059;6,867116196;904,3818923;63,844;61,879;65,786;32,333
2016;YR2016;Thailand;THA;3,71143463;3,356488872;5911,951214;76,403;72,704;80,189;48,448
2016;YR2016;Timor-Leste;TLS;4,02059179;0,706714168;3072,415023;68,735;66,815;70,781;29,85
2016;YR2016;Togo;TGO;6,61568574;4,918356443;644,856576;60,22;59,398;61,023;40,628
2016;YR2016;Tonga;TON;5,26385403;3,37947375;4016,865962;70,607;68,699;72,544;23,222
2016;YR2016;Trinidad and Tobago;TTO;6,5104014;-6,509206979;15614,83158;73,1;70,466;75,811;53,25
2016;YR2016;Tunisia;TUN;6,95195517;1,262528555;4314,953355;76,115;74,102;78,165;68,346
2016;YR2016;Turkey;TUR;4,3143198;3,183831547;14062,73379;76,86;73,826;79,816;74,134
2016;YR2016;Turkmenistan;TKM;6,61802128;6,199999966;6987,068177;67,835;64,4;71,312;50,728
2016;YR2016;Turks and Caicos Islands;TCA;..;4,399701715;..;..;..;..;92,517
2016;YR2016;Tuvalu;TUV;15,45402053;3,034723153;3493,770001;..;..;..;60,645
2016;YR2016;Uganda;UGA;6,16503174;4,781000291;694,009088;61,986;59,83;64,018;22,624
2016;YR2016;Ukraine;UKR;6,72703787;2,440994738;2909,646215;71,47634146;66,73;76,46;69,154
2016;YR2016;United Arab Emirates;ARE;3,51684955;2,988441821;41045,11112;77,47;76,79;78,846;85,965
2016;YR2016;United Kingdom;GBR;9,7623484;1,789236055;42201,64143;81,15609756;79,4;83;82,886
2016;YR2016;United States;USA;17,07341533;1,56721517;52534,36528;78,53902439;76,1;81,1;81,862
2016;YR2016;Uruguay;URY;9,06075776;1,689798162;14124,14386;77,498;73,662;81,115;95,144
2016;YR2016;Uzbekistan;UZB;6,33520937;6,094325243;1909,4371;71,171;69,004;73,328;50,65
2016;YR2016;Vanuatu;VUT;3,69175091;4,000574486;2791,838169;70,021;68,544;71,674;25,062
2016;YR2016;Venezuela, RB;VEN;3,21708435;..;..;72,405;68,687;76,353;88,165
2016;YR2016;Vietnam;VNM;5,65919354;6,210811668;1752,531946;75,172;71,049;79,294;34,51
2016;YR2016;Virgin Islands (U.S.);VIR;..;0,904392765;29729,22179;79,26829268;76;82,7;95,48
2016;YR2016;West Bank and Gaza;PSE;..;4,708435256;2694,522526;73,589;71,945;75,307;75,628
2016;YR2016;Yemen, Rep.;YEM;..;-13,62145844;765,6041721;66,087;64,417;67,789;35,394
2016;YR2016;Zambia;ZMB;4,47720737;3,757177805;1652,284458;62,464;59,697;65,168;42,438
2016;YR2016;Zimbabwe;ZWE;9,41366844;0,755869251;1224,309922;60,294;58,565;61,719;32,296
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Data from database: World Development Indicators;;;;;;;;;;
Last Updated: 09/19/2019;;;;;;;;;;